"","tip","cites"
"597","Anthreptes rectirostris",0
"598","Anthreptes reichenowi",0
"599","Anthreptes rhodolaemus",0
"600","Anthreptes rubritorques",0
"601","Anthreptes simplex",1
"602","Anthreptes singalensis",0
"603","Anthus antarcticus",0
"604","Anthus berthelotii",16
"605","Anthus bogotensis",0
"606","Anthus brachyurus",0
"607","Anthus caffer",0
"608","Anthus campestris",4
"609","Anthus cervinus",2
"610","Anthus chacoensis",0
"611","Anthus chloris",0
"612","Anthus correndera",3
"613","Anthus crenatus",0
"614","Anthus furcatus",0
"615","Anthus godlewskii",0
"616","Anthus gustavi",1
"617","Anthus gutturalis",0
"618","Anthus hellmayri",0
"619","Anthus hodgsoni",1
"620","Anthus hoeschi",0
"621","Anthus leucophrys",0
"622","Anthus lineiventris",0
"623","Anthus longicaudatus",0
"624","Anthus lutescens",1
"625","Anthus melindae",0
"626","Anthus nattereri",1
"627","Anthus nilghiriensis",1
"628","Anthus novaeseelandiae",1
"629","Anthus pallidiventris",0
"630","Anthus petrosus",1
"631","Anthus pratensis",9
"632","Anthus richardi",1
"633","Anthus roseatus",0
"634","Anthus rubescens",1
"635","Anthus rufulus",0
"636","Anthus similis",0
"637","Anthus sokokensis",0
"638","Anthus spinoletta",7
"639","Anthus spragueii",1
"640","Anthus sylvanus",0
"641","Anthus trivialis",6
"642","Anthus vaalensis",0
"643","Antilophia bokermanni",2
"644","Antilophia galeata",1
"645","Anumbius annumbi",0
"646","Anurolimnas castaneiceps",0
"647","Anurolimnas fasciatus",0
"648","Anurolimnas viridis",0
"649","Anurophasis monorthonyx",0
"650","Apalharpactes mackloti",0
"651","Apalharpactes reinwardtii",0
"652","Apalis alticola",0
"653","Apalis argentea",0
"654","Apalis bamendae",0
"655","Apalis binotata",0
"656","Apalis chapini",0
"657","Apalis chariessa",0
"658","Apalis chirindensis",0
"659","Apalis cinerea",0
"660","Apalis flavida",0
"661","Apalis flavigularis",0
"662","Apalis fuscigularis",0
"663","Apalis goslingi",0
"664","Apalis jacksoni",0
"665","Apalis karamojae",0
"666","Apalis lynesi",0
"667","Apalis melanocephala",0
"668","Apalis nigriceps",0
"669","Apalis personata",0
"670","Apalis porphyrolaema",0
"671","Apalis ruddi",0
"672","Apalis rufogularis",0
"673","Apalis sharpii",0
"674","Apalis thoracica",0
"675","Apaloderma aequatoriale",0
"676","Apaloderma narina",0
"677","Apaloderma vittatum",0
"678","Apalopteron familiare",1
"679","Aphanotriccus audax",0
"680","Aphanotriccus capitalis",0
"681","Aphantochroa cirrochloris",0
"682","Aphelocephala leucopsis",0
"683","Aphelocephala nigricincta",0
"684","Aphelocephala pectoralis",0
"685","Aphelocoma californica",18
"686","Aphelocoma coerulescens",29
"687","Aphelocoma insularis",6
"688","Aphelocoma ultramarina",9
"689","Aphelocoma unicolor",0
"690","Aphrastura masafuerae",0
"691","Aphrastura spinicauda",10
"692","Aphriza virgata",1
"693","Aplonis atrifusca",0
"694","Aplonis brunneicapillus",0
"695","Aplonis cantoroides",0
"696","Aplonis cinerascens",0
"697","Aplonis crassa",0
"698","Aplonis dichroa",0
"699","Aplonis feadensis",0
"700","Aplonis grandis",0
"701","Aplonis insularis",0
"702","Aplonis magna",0
"703","Aplonis metallica",3
"704","Aplonis minor",0
"705","Aplonis mysolensis",0
"706","Aplonis mystacea",0
"707","Aplonis opaca",1
"708","Aplonis panayensis",1
"709","Aplonis pelzelni",1
"710","Aplonis santovestris",0
"711","Aplonis striata",0
"712","Aplonis tabuensis",0
"713","Aplonis zelandica",0
"714","Aplopelia larvata",0
"715","Aprosmictus erythropterus",0
"716","Aprosmictus jonquillaceus",0
"717","Aptenodytes forsteri",83
"718","Aptenodytes patagonicus",121
"719","Apteryx australis",2
"720","Apteryx haastii",3
"721","Apteryx mantelli",2
"722","Apteryx owenii",9
"723","Apus acuticauda",0
"724","Apus affinis",1
"725","Apus alexandri",0
"726","Apus apus",40
"727","Apus balstoni",0
"728","Apus barbatus",0
"729","Apus batesi",0
"730","Apus berliozi",0
"731","Apus bradfieldi",0
"732","Apus caffer",0
"733","Apus horus",1
"734","Apus niansae",0
"735","Apus nipalensis",0
"736","Apus pacificus",0
"737","Apus pallidus",3
"738","Apus sladeniae",0
"739","Apus toulsoni",0
"740","Apus unicolor",0
"741","Aquila adalberti",25
"742","Aquila africanus",0
"743","Aquila audax",8
"744","Aquila chrysaetos",102
"745","Aquila clanga",3
"746","Aquila fasciatus",9
"747","Aquila gurneyi",0
"748","Aquila hastata",0
"749","Aquila heliaca",6
"750","Aquila nipalensis",5
"751","Aquila pomarina",7
"752","Aquila rapax",6
"753","Aquila verreauxii",2
"754","Aquila wahlbergi",2
"755","Ara ambiguus",0
"756","Ara ararauna",21
"757","Ara chloropterus",6
"758","Ara glaucogularis",5
"759","Ara macao",40
"760","Ara militaris",6
"761","Ara rubrogenys",5
"762","Ara severus",1
"763","Arachnothera affinis",0
"764","Arachnothera chrysogenys",0
"765","Arachnothera clarae",0
"766","Arachnothera crassirostris",0
"767","Arachnothera everetti",0
"768","Arachnothera flavigaster",0
"769","Arachnothera juliae",0
"770","Arachnothera longirostra",4
"771","Arachnothera magna",0
"772","Arachnothera robusta",0
"773","Aramides axillaris",0
"774","Aramides cajanea",0
"775","Aramides calopterus",0
"776","Aramides mangle",0
"777","Aramides saracura",0
"778","Aramides wolfi",0
"779","Aramides ypecaha",0
"780","Aramidopsis plateni",0
"781","Aramus guarauna",1
"782","Aratinga acuticaudata",1
"783","Aratinga aurea",0
"784","Aratinga auricapillus",0
"785","Aratinga brevipes",1
"786","Aratinga cactorum",0
"787","Aratinga canicularis",0
"788","Aratinga chloroptera",0
"789","Aratinga erythrogenys",0
"790","Aratinga euops",1
"791","Aratinga finschi",0
"792","Aratinga holochlora",1
"793","Aratinga jandaya",0
"794","Aratinga leucophthalma",2
"795","Aratinga mitrata",1
"796","Aratinga nana",0
"797","Aratinga pertinax",0
"798","Aratinga rubritorquis",0
"799","Aratinga solstitialis",1
"800","Aratinga wagleri",0
"801","Aratinga weddellii",1
"802","Arborophila ardens",4
"803","Arborophila atrogularis",0
"804","Arborophila brunneopectus",2
"805","Arborophila cambodiana",0
"806","Arborophila campbelli",0
"807","Arborophila charltonii",0
"808","Arborophila chloropus",0
"809","Arborophila crudigularis",1
"810","Arborophila davidi",0
"811","Arborophila gingica",1
"812","Arborophila hyperythra",0
"813","Arborophila javanica",0
"814","Arborophila mandellii",0
"815","Arborophila orientalis",0
"816","Arborophila rolli",0
"817","Arborophila rubrirostris",0
"818","Arborophila rufipectus",5
"819","Arborophila rufogularis",0
"820","Arborophila sumatrana",0
"821","Arborophila torqueola",0
"822","Archboldia papuensis",0
"823","Archilochus alexandri",11
"824","Archilochus colubris",28
"825","Ardea cinerea",61
"826","Ardea cocoi",1
"827","Ardea goliath",1
"828","Ardea herodias",59
"829","Ardea humbloti",0
"830","Ardea insignis",1
"831","Ardea melanocephala",0
"832","Ardea pacifica",0
"833","Ardea picata",0
"834","Ardea purpurea",6
"835","Ardea sumatrana",0
"836","Ardeola bacchus",4
"837","Ardeola grayii",1
"838","Ardeola idae",0
"839","Ardeola ralloides",5
"840","Ardeola rufiventris",0
"841","Ardeola speciosa",0
"842","Ardeotis arabs",1
"843","Ardeotis australis",0
"844","Ardeotis kori",22
"845","Ardeotis nigriceps",1
"846","Arenaria interpres",41
"847","Arenaria melanocephala",3
"848","Argusianus argus",5
"849","Arremon abeillei",1
"850","Arremon aurantiirostris",1
"851","Arremon brunneinucha",0
"852","Arremon castaneiceps",0
"853","Arremon crassirostris",0
"854","Arremon flavirostris",2
"855","Arremon franciscanus",0
"856","Arremon schlegeli",0
"857","Arremon semitorquatus",0
"858","Arremon taciturnus",0
"859","Arremon torquatus",0
"860","Arremon virenticeps",0
"861","Arremonops chloronotus",0
"862","Arremonops conirostris",0
"863","Arremonops rufivirgatus",1
"864","Arremonops tocuyensis",0
"865","Arses insularis",0
"866","Arses kaupi",0
"867","Arses telescophthalmus",0
"868","Artamella viridis",0
"869","Artamus cinereus",0
"870","Artamus cyanopterus",0
"871","Artamus fuscus",0
"872","Artamus insignis",0
"873","Artamus leucorynchus",0
"874","Artamus maximus",0
"875","Artamus mentalis",0
"876","Artamus minor",0
"877","Artamus monachus",0
"878","Artamus personatus",0
"879","Artamus superciliosus",0
"880","Artisornis metopias",1
"881","Artisornis moreaui",1
"882","Arundinicola leucocephala",0
"883","Ashbyia lovensis",0
"884","Asio abyssinicus",0
"885","Asio capensis",0
"886","Asio flammeus",9
"887","Asio madagascariensis",0
"888","Asio otus",33
"889","Asio stygius",3
"890","Aspatha gularis",0
"891","Asthenes anthoides",0
"892","Asthenes arequipae",0
"893","Asthenes baeri",0
"894","Asthenes berlepschi",0
"895","Asthenes cactorum",0
"896","Asthenes dorbignyi",1
"897","Asthenes flammulata",0
"898","Asthenes heterura",0
"899","Asthenes huancavelicae",0
"900","Asthenes hudsoni",0
"901","Asthenes humicola",0
"902","Asthenes humilis",0
