"","id","record","species","Lineage_Name","parasiteGenus","order","family","genus","Pr","Jetz.species","match","tip"
"88","Acrocephalus arundinaceus_GRW09",1,"Acrocephalus arundinaceus","GRW09","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus"
"89","Acrocephalus arundinaceus_GRW10",2,"Acrocephalus arundinaceus","GRW10","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus"
"90","Acrocephalus arundinaceus_GRW11",2,"Acrocephalus arundinaceus","GRW11","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,"Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus"
"91","Acrocephalus arundinaceus_GRW12",1,"Acrocephalus arundinaceus","GRW12","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus"
"92","Acrocephalus arundinaceus_GRW13",1,"Acrocephalus arundinaceus","GRW13","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus"
"93","Acrocephalus arundinaceus_GRW14",1,"Acrocephalus arundinaceus","GRW14","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus"
"94","Acrocephalus arundinaceus_GRW15",1,"Acrocephalus arundinaceus","GRW15","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus"
"95","Acrocephalus arundinaceus_GRW16",1,"Acrocephalus arundinaceus","GRW16","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus"
"96","Acrocephalus arundinaceus_GRW17",1,"Acrocephalus arundinaceus","GRW17","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus"
"97","Acrocephalus arundinaceus_GRW18",1,"Acrocephalus arundinaceus","GRW18","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus"
"98","Acrocephalus arundinaceus_GRW19",1,"Acrocephalus arundinaceus","GRW19","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus"
"99","Acrocephalus arundinaceus_MOALB02",1,"Acrocephalus orientalis","MOALB02","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_arundinaceus","no","Acrocephalus arundinaceus"
"100","Acrocephalus arundinaceus_ORW1",1,"Acrocephalus orientalis","ORW1","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_arundinaceus","no","Acrocephalus arundinaceus"
