"","species","id","Lineage_Name","parasiteGenus","order","family","genus","record","Pr","Jetz.species","match"
"128","Acrocephalus newtoni","FOUMAD03_Acrocephalus newtoni","FOUMAD03","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,0,NA,NA
"129","Acrocephalus newtoni","GRW09_Acrocephalus newtoni","GRW09","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,0,NA,NA
"130","Acrocephalus newtoni","GRW06_Acrocephalus newtoni","GRW06","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,0,NA,NA
"131","Acrocephalus orientalis","GRW04_Acrocephalus orientalis","GRW04","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,1,"Acrocephalus_arundinaceus","no"
"132","Acrocephalus orientalis","MOALB02_Acrocephalus orientalis","MOALB02","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,0,"Acrocephalus_arundinaceus","no"
"133","Acrocephalus orientalis","ORW1_Acrocephalus orientalis","ORW1","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,0,"Acrocephalus_arundinaceus","no"
"134","Acrocephalus paludicola","SW5_Acrocephalus paludicola","SW5","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,0,"Acrocephalus_paludicola","yes"
"135","Acrocephalus paludicola","SYAT24_Acrocephalus paludicola","SYAT24","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,0,"Acrocephalus_paludicola","yes"
"136","Acrocephalus paludicola","GRW06_Acrocephalus paludicola","GRW06","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,0,"Acrocephalus_paludicola","yes"
"137","Acrocephalus paludicola","GRW02_Acrocephalus paludicola","GRW02","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,0,"Acrocephalus_paludicola","yes"
"138","Acrocephalus paludicola","SYBOR02_Acrocephalus paludicola","SYBOR02","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",2,0,"Acrocephalus_paludicola","yes"
"139","Acrocephalus paludicola","SYBOR23_Acrocephalus paludicola","SYBOR23","Leucocytozoon","Passeriformes","Sylviidae","Acrocephalus",1,0,"Acrocephalus_paludicola","yes"
"140","Acrocephalus paludicola","GRW04_Acrocephalus paludicola","GRW04","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,1,"Acrocephalus_paludicola","yes"
"141","Acrocephalus paludicola","SW2_Acrocephalus paludicola","SW2","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",4,0,"Acrocephalus_paludicola","yes"
"142","Acrocephalus paludicola","TURDUS1_Acrocephalus paludicola","TURDUS1","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",2,0,"Acrocephalus_paludicola","yes"
"143","Acrocephalus palustris","RW2_Acrocephalus palustris","RW2","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",1,0,"Acrocephalus_palustris","yes"
"144","Acrocephalus palustris","SW1_Acrocephalus palustris","SW1","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",2,0,"Acrocephalus_palustris","yes"
"145","Acrocephalus palustris","WW2_Acrocephalus palustris","WW2","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",3,0,"Acrocephalus_palustris","yes"
"146","Acrocephalus palustris","ARW1_Acrocephalus palustris","ARW1","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",3,0,"Acrocephalus_palustris","yes"
"147","Acrocephalus palustris","MW3_Acrocephalus palustris","MW3","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",1,0,"Acrocephalus_palustris","yes"
"148","Acrocephalus palustris","SYBOR21_Acrocephalus palustris","SYBOR21","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",1,0,"Acrocephalus_palustris","yes"
"149","Acrocephalus palustris","SGS1_Acrocephalus palustris","SGS1","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",2,1,"Acrocephalus_palustris","yes"
